season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
13//14,LaLiga,29,2014-03-23,A,FC Barcelona,Real Madrid,3:04,CF,65,3:03,Penalty,no assist,messi,False,False,3,3,4,2014,3,23,Sunday,March,end,second time
13//14,LaLiga,29,2014-03-23,A,FC Barcelona,Real Madrid,3:04,CF,84,3:04,Penalty,no assist,messi,False,False,4,3,4,2014,3,23,Sunday,March,end,second time
13//14,LaLiga,30,2014-03-26,H,FC Barcelona,Celta de Vigo,3:00,CF,30,2:00,Right-footed shot,Andres Iniesta,messi,False,False,2,0,3,2014,3,26,Wednesday,March,end,first half
13//14,LaLiga,31,2014-03-29,A,FC Barcelona,RCD Espanyol Barcelona,0:01,CF,77,0:01,Penalty,no assist,messi,False,False,1,0,1,2014,3,29,Saturday,March,end,second time
13//14,LaLiga,32,2014-04-05,H,FC Barcelona,Real Betis Balompie,3:01,CF,15,1:00,Penalty,no assist,messi,False,False,1,1,3,2014,4,5,Saturday,April,end,first half
13//14,LaLiga,32,2014-04-05,H,FC Barcelona,Real Betis Balompie,3:01,CF,86,3:01,Penalty rebound,no assist,messi,False,False,3,1,3,2014,4,5,Saturday,April,end,second time
13//14,LaLiga,34,2014-04-20,H,FC Barcelona,Athletic Bilbao,2:01,CF,74,2:01,Direct free kick,no assist,messi,False,False,2,1,2,2014,4,20,Sunday,April,end,second time
13//14,LaLiga,35,2014-04-27,A,FC Barcelona,Villarreal CF,2:03,CF,83,2:03,Right-footed shot,Cesc Fabregas,messi,False,False,3,2,3,2014,4,27,Sunday,April,end,second time
13//14,LaLiga,36,2014-05-03,H,FC Barcelona,Getafe CF,2:02,CF,23,1:00,Left-footed shot,Dani Alves,messi,False,False,1,2,2,2014,5,3,Saturday,May,end,first half
14//15,LaLiga,1,2014-08-24,H,FC Barcelona,Elche CF,3:00,CF,42,1:00,Left-footed shot,Sergio Busquets,messi,False,False,1,0,3,2014,8,24,Sunday,August,start,first half
14//15,LaLiga,1,2014-08-24,H,FC Barcelona,Elche CF,3:00,CF,64,3:00,Left-footed shot,Pedro,messi,False,False,3,0,3,2014,8,24,Sunday,August,start,second time
14//15,LaLiga,4,2014-09-21,A,FC Barcelona,Levante UD,0:05,CF,77,0:05,Right-footed shot,Dani Alves,messi,False,False,5,0,5,2014,9,21,Sunday,September,start,second time
14//15,LaLiga,6,2014-09-27,H,FC Barcelona,Granada CF,6:00,CF,62,4:00,Header,Dani Alves,messi,False,False,4,0,6,2014,9,27,Saturday,September,start,second time
14//15,LaLiga,6,2014-09-27,H,FC Barcelona,Granada CF,6:00,CF,82,6:00,Right-footed shot,Luis Suarez,messi,False,False,6,0,6,2014,9,27,Saturday,September,start,second time
14//15,UEFA Champions League,group stage,2014-09-30,A,FC Barcelona,Paris Saint-Germain,3:02,RW,12,1:01,Left-footed shot,Andres Iniesta,messi,False,False,1,3,2,2014,9,30,Tuesday,September,start,first half
14//15,LaLiga,7,2014-10-04,A,FC Barcelona,Rayo Vallecano,0:02,CF,35,0:01,Left-footed shot,Gerard Pique,messi,False,False,1,0,2,2014,10,4,Saturday,October,start,first half
14//15,LaLiga,8,2014-10-18,H,FC Barcelona,SD Eibar,3:00,CF,74,3:00,Left-footed shot,Neymar,messi,False,False,3,0,3,2014,10,18,Saturday,October,start,second time
14//15,UEFA Champions League,group stage,2014-10-21,H,FC Barcelona,Ajax Amsterdam,3:01,CF,24,2:00,Left-footed shot,Andres Iniesta,messi,False,False,2,1,3,2014,10,21,Tuesday,October,start,first half
14//15,UEFA Champions League,group stage,2014-11-05,A,FC Barcelona,Ajax Amsterdam,0:02,RW,36,0:01,Header,Marc Bartra,messi,False,False,1,0,2,2014,11,5,Wednesday,November,middle,first half
14//15,UEFA Champions League,group stage,2014-11-05,A,FC Barcelona,Ajax Amsterdam,0:02,RW,76,0:02,Left-footed shot,Pedro,messi,False,False,2,0,2,2014,11,5,Wednesday,November,middle,second time
14//15,LaLiga,12,2014-11-22,H,FC Barcelona,Sevilla FC,5:01,RW,21,1:00,Direct free kick,no assist,messi,False,False,1,1,5,2014,11,22,Saturday,November,middle,first half
14//15,LaLiga,12,2014-11-22,H,FC Barcelona,Sevilla FC,5:01,RW,73,4:01,Tap-in,Neymar,messi,False,False,4,1,5,2014,11,22,Saturday,November,middle,second time
14//15,LaLiga,12,2014-11-22,H,FC Barcelona,Sevilla FC,5:01,RW,78,5:01,Left-footed shot,Neymar,messi,False,False,5,1,5,2014,11,22,Saturday,November,middle,second time
14//15,UEFA Champions League,group stage,2014-11-25,A,FC Barcelona,APOEL Nicosia,0:04,CF,38,0:02,Right-footed shot,Rafinha,messi,False,False,2,0,4,2014,11,25,Tuesday,November,middle,first half
14//15,UEFA Champions League,group stage,2014-11-25,A,FC Barcelona,APOEL Nicosia,0:04,CF,58,0:03,Right-footed shot,Dani Alves,messi,False,False,3,0,4,2014,11,25,Tuesday,November,middle,second time
14//15,UEFA Champions League,group stage,2014-11-25,A,FC Barcelona,APOEL Nicosia,0:04,CF,87,0:04,Right-footed shot,Pedro,messi,False,False,4,0,4,2014,11,25,Tuesday,November,middle,second time
14//15,LaLiga,14,2014-12-07,H,FC Barcelona,RCD Espanyol Barcelona,5:01,RW,45+1,1:01,Left-footed shot,Xavi,messi,False,False,1,1,5,2014,12,7,Sunday,December,middle,first half
14//15,LaLiga,14,2014-12-07,H,FC Barcelona,RCD Espanyol Barcelona,5:01,RW,50,2:01,Right-footed shot,Luis Suarez,messi,False,False,2,1,5,2014,12,7,Sunday,December,middle,second time
14//15,LaLiga,14,2014-12-07,H,FC Barcelona,RCD Espanyol Barcelona,5:01,RW,81,5:01,Right-footed shot,Pedro,messi,False,False,5,1,5,2014,12,7,Sunday,December,middle,second time
14//15,UEFA Champions League,group stage,2014-12-10,H,FC Barcelona,Paris Saint-Germain,3:01,AM,19,1:01,Right-footed shot,Luis Suarez,messi,False,False,1,1,3,2014,12,10,Wednesday,December,middle,first half
14//15,LaLiga,16,2014-12-20,H,FC Barcelona,CÃ³rdoba CF,5:00,RW,82,4:00,Right-footed shot,Pedro,messi,False,False,4,0,5,2014,12,20,Saturday,December,middle,second time
14//15,LaLiga,16,2014-12-20,H,FC Barcelona,CÃ³rdoba CF,5:00,RW,90,5:00,Right-footed shot,Luis Suarez,messi,False,False,5,0,5,2014,12,20,Saturday,December,middle,second time
14//15,Copa del Rey,last 16,2015-01-08,H,FC Barcelona,Elche CF,5:00,RW,45,3:00,Penalty,no assist,messi,False,False,3,0,5,2015,1,8,Thursday,January,middle,first half
14//15,LaLiga,18,2015-01-11,H,FC Barcelona,Atletico de Madrid,3:01,RW,87,3:01,Left-footed shot,Ivan Rakitic,messi,False,False,3,1,3,2015,1,11,Sunday,January,middle,second time
14//15,LaLiga,19,2015-01-18,A,FC Barcelona,Deportivo de La Coruaa,0:04,RW,11,0:01,Header,Ivan Rakitic,messi,False,False,1,0,4,2015,1,18,Sunday,January,middle,first half
14//15,LaLiga,19,2015-01-18,A,FC Barcelona,Deportivo de La Coruaa,0:04,RW,33,0:02,Left-footed shot,Luis Suarez,messi,False,False,2,0,4,2015,1,18,Sunday,January,middle,first half
14//15,LaLiga,19,2015-01-18,A,FC Barcelona,Deportivo de La Coruaa,0:04,RW,62,0:03,Left-footed shot,Ivan Rakitic,messi,False,False,3,0,4,2015,1,18,Sunday,January,middle,second time
14//15,Copa del Rey,quarter-finals,2015-01-21,H,FC Barcelona,Atletico de Madrid,1:00,RW,85,1:00,Penalty rebound,no assist,messi,False,False,1,0,1,2015,1,21,Wednesday,January,middle,second time
14//15,LaLiga,20,2015-01-24,A,FC Barcelona,Elche CF,0:06,CF,55,0:02,Penalty,no assist,messi,False,False,2,0,6,2015,1,24,Saturday,January,middle,second time
14//15,LaLiga,20,2015-01-24,A,FC Barcelona,Elche CF,0:06,CF,88,0:05,Left-footed shot,Marc Bartra,messi,False,False,5,0,6,2015,1,24,Saturday,January,middle,second time
14//15,LaLiga,21,2015-02-01,H,FC Barcelona,Villarreal CF,3:02,RW,55,3:02,Right-footed shot,Luis Suarez,messi,False,False,3,2,3,2015,2,1,Sunday,February,middle,second time
14//15,LaLiga,22,2015-02-08,A,FC Barcelona,Athletic Bilbao,2:05,RW,15,0:01,Direct free kick,no assist,messi,False,False,1,2,5,2015,2,8,Sunday,February,middle,first half
14//15,Copa del Rey,semi-finals,2015-02-11,H,FC Barcelona,Villarreal CF,3:01,RW,41,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,1,3,2015,2,11,Wednesday,February,middle,first half
14//15,LaLiga,23,2015-02-15,H,FC Barcelona,Levante UD,5:00,CF,38,2:00,Right-footed shot,Marc Bartra,messi,False,False,2,0,5,2015,2,15,Sunday,February,middle,first half
14//15,LaLiga,23,2015-02-15,H,FC Barcelona,Levante UD,5:00,CF,59,3:00,Right-footed shot,Pedro,messi,False,False,3,0,5,2015,2,15,Sunday,February,middle,second time
14//15,LaLiga,23,2015-02-15,H,FC Barcelona,Levante UD,5:00,CF,65,4:00,Penalty,no assist,messi,False,False,4,0,5,2015,2,15,Sunday,February,middle,second time
14//15,LaLiga,25,2015-02-28,A,FC Barcelona,Granada CF,1:03,RW,70,1:03,Right-footed shot,Luis Suarez,messi,False,False,3,1,3,2015,2,28,Saturday,February,middle,second time
14//15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,56,3:00,Penalty,no assist,messi,False,False,3,1,6,2015,3,8,Sunday,March,end,second time
14//15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,63,4:00,Tap-in,Dani Alves,messi,False,False,4,1,6,2015,3,8,Sunday,March,end,second time
14//15,LaLiga,26,2015-03-08,H,FC Barcelona,Rayo Vallecano,6:01,RW,68,5:00,Left-footed shot,Pedro,messi,False,False,5,1,6,2015,3,8,Sunday,March,end,second time
14//15,LaLiga,27,2015-03-14,A,FC Barcelona,SD Eibar,0:02,RW,31,0:01,Penalty,no assist,messi,False,False,1,0,2,2015,3,14,Saturday,March,end,first half
14//15,LaLiga,27,2015-03-14,A,FC Barcelona,SD Eibar,0:02,RW,55,0:02,Header,Ivan Rakitic,messi,False,False,2,0,2,2015,3,14,Saturday,March,end,second time
14//15,LaLiga,30,2015-04-08,H,FC Barcelona,UD Almera,4:00,RW,33,1:00,Left-footed shot,Marc Bartra,messi,False,False,1,0,4,2015,4,8,Wednesday,April,end,first half
14//15,LaLiga,31,2015-04-11,A,FC Barcelona,Sevilla FC,2:02,RW,15,0:01,Left-footed shot,Neymar,messi,False,False,1,2,2,2015,4,11,Saturday,April,end,first half
14//15,LaLiga,32,2015-04-18,H,FC Barcelona,Valencia CF,2:00,RW,90+4,2:00,Left-footed shot,Neymar,messi,False,False,2,0,2,2015,4,18,Saturday,April,end,plus 90
14//15,LaLiga,33,2015-04-25,A,FC Barcelona,RCD Espanyol Barcelona,0:02,RW,25,0:02,Left-footed shot,Luis Suarez,messi,False,False,2,0,2,2015,4,25,Saturday,April,end,first half
14//15,LaLiga,34,2015-04-28,H,FC Barcelona,Getafe CF,6:00,RW,9,1:00,Penalty,no assist,messi,False,False,1,0,6,2015,4,28,Tuesday,April,end,first half
14//15,LaLiga,34,2015-04-28,H,FC Barcelona,Getafe CF,6:00,RW,47,6:00,Left-footed shot,Luis Suarez,messi,False,False,6,0,6,2015,4,28,Tuesday,April,end,second time
14//15,LaLiga,35,2015-05-02,A,FC Barcelona,CÃ³rdoba CF,0:08,RW,47,0:03,Header,Dani Alves,messi,False,False,3,0,8,2015,5,2,Saturday,May,end,second time
14//15,LaLiga,35,2015-05-02,A,FC Barcelona,CÃ³rdoba CF,0:08,RW,80,0:06,Left-footed shot,Luis Suarez,messi,False,False,6,0,8,2015,5,2,Saturday,May,end,second time
14//15,UEFA Champions League,semi-finals,2015-05-06,H,FC Barcelona,Bayern Munich,3:00,RW,77,1:00,Left-footed shot,Dani Alves,messi,False,False,1,0,3,2015,5,6,Wednesday,May,end,second time
14//15,UEFA Champions League,semi-finals,2015-05-06,H,FC Barcelona,Bayern Munich,3:00,RW,80,2:00,Right-footed shot,Ivan Rakitic,messi,False,False,2,0,3,2015,5,6,Wednesday,May,end,second time
14//15,LaLiga,37,2015-05-17,A,FC Barcelona,Atletico de Madrid,0:01,RW,65,0:01,Left-footed shot,Pedro,messi,False,False,1,0,1,2015,5,17,Sunday,May,end,second time
14//15,LaLiga,38,2015-05-23,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,5,1:00,Header,Rafinha,messi,False,False,1,2,2,2015,5,23,Saturday,May,end,first half
14//15,LaLiga,38,2015-05-23,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,59,2:00,Right-footed shot,Neymar,messi,False,False,2,2,2,2015,5,23,Saturday,May,end,second time
14//15,Copa del Rey,final,2015-05-30,A,FC Barcelona,Athletic Bilbao,1:03,RW,20,0:01,Solo run,no assist,messi,False,False,1,1,3,2015,5,30,Saturday,May,end,first half
14//15,Copa del Rey,final,2015-05-30,A,FC Barcelona,Athletic Bilbao,1:03,RW,74,0:03,Left-footed shot,Dani Alves,messi,False,False,3,1,3,2015,5,30,Saturday,May,end,second time
15//16,UEFA Super Cup,final,2015-08-11,H,FC Barcelona,Sevilla FC,5:4 AET,RW,7,1:01,Direct free kick,no assist,messi,True,False,1,4,5,2015,8,11,Tuesday,August,start,first half
15//16,UEFA Super Cup,final,2015-08-11,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,2:01,Direct free kick,no assist,messi,True,False,2,4,5,2015,8,11,Tuesday,August,start,first half
15//16,Supercopa,final,2015-08-17,H,FC Barcelona,Athletic Bilbao,1:01,RW,43,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,1,1,2015,8,17,Monday,August,start,first half
15//16,LaLiga,3,2015-09-12,A,FC Barcelona,Atletico de Madrid,1:02,RW,77,1:02,Left-footed shot,Luis Suarez,messi,False,False,2,1,2,2015,9,12,Saturday,September,start,second time
15//16,LaLiga,4,2015-09-20,H,FC Barcelona,Levante UD,4:01,AM,61,3:00,Penalty,no assist,messi,False,False,3,1,4,2015,9,20,Sunday,September,start,second time
15//16,LaLiga,4,2015-09-20,H,FC Barcelona,Levante UD,4:01,AM,90,4:01,Left-footed shot,Marc Bartra,messi,False,False,4,1,4,2015,9,20,Sunday,September,start,second time
15//16,UEFA Champions League,group stage,2015-11-24,H,FC Barcelona,AS Roma,6:01,RW,18,2:00,Left-footed shot,Luis Suarez,messi,False,False,2,1,6,2015,11,24,Tuesday,November,middle,first half
15//16,UEFA Champions League,group stage,2015-11-24,H,FC Barcelona,AS Roma,6:01,RW,60,5:00,Tap-in,Luis Suarez,messi,False,False,5,1,6,2015,11,24,Tuesday,November,middle,second time
15//16,LaLiga,13,2015-11-28,H,FC Barcelona,Real Sociedad,4:00,RW,90+1,4:00,Left-footed shot,Neymar,messi,False,False,4,0,4,2015,11,28,Saturday,November,middle,plus 90
15//16,UEFA Champions League,group stage,2015-12-09,A,FC Barcelona,Bayer 04 Leverkusen,1:01,CF,20,0:01,Right-footed shot,Ivan Rakitic,messi,False,False,1,1,1,2015,12,9,Wednesday,December,middle,first half
15//16,LaLiga,15,2015-12-12,H,FC Barcelona,Deportivo de La Coruaa,2:02,RW,39,1:00,Direct free kick,no assist,messi,False,False,1,2,2,2015,12,12,Saturday,December,middle,first half
15//16,FIFA Club World Cup,final,2015-12-20,A,FC Barcelona,CA River Plate,0:03,RW,36,0:01,Left-footed shot,Neymar,messi,False,False,1,0,3,2015,12,20,Sunday,December,middle,first half
15//16,LaLiga,17,2015-12-30,H,FC Barcelona,Real Betis Balompie,4:00,RW,33,2:00,Right-footed shot,Neymar,messi,False,False,2,0,4,2015,12,30,Wednesday,December,middle,first half
15//16,Copa del Rey,last 16,2016-01-06,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,13,1:01,Left-footed shot,Andres Iniesta,messi,False,False,1,1,4,2016,1,6,Wednesday,January,middle,first half
15//16,Copa del Rey,last 16,2016-01-06,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,44,2:01,Direct free kick,no assist,messi,False,False,2,1,4,2016,1,6,Wednesday,January,middle,first half
15//16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW,8,1:00,Left-footed shot,Arda Turan,messi,False,False,1,0,4,2016,1,9,Saturday,January,middle,first half
15//16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW,14,2:00,Left-footed shot,Luis Suarez,messi,False,False,2,0,4,2016,1,9,Saturday,January,middle,first half
15//16,LaLiga,19,2016-01-09,H,FC Barcelona,Granada CF,4:00,RW,58,3:00,Tap-in,Neymar,messi,False,False,3,0,4,2016,1,9,Saturday,January,middle,second time
15//16,LaLiga,20,2016-01-17,H,FC Barcelona,Athletic Bilbao,6:00,RW,7,1:00,Penalty,no assist,messi,False,False,1,0,6,2016,1,17,Sunday,January,middle,first half
15//16,LaLiga,21,2016-01-23,A,FC Barcelona,Malaga CF,1:02,RW,51,1:02,Left-footed shot,Adriano,messi,False,False,2,1,2,2016,1,23,Saturday,January,middle,second time
15//16,LaLiga,22,2016-01-30,H,FC Barcelona,Atletico de Madrid,2:01,RW,30,1:01,Left-footed shot,Jordi Alba,messi,False,False,1,1,2,2016,1,30,Saturday,January,middle,first half
15//16,Copa del Rey,semi-finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,29,3:00,Left-footed shot,Neymar,messi,False,False,3,0,7,2016,2,3,Wednesday,February,middle,first half
15//16,Copa del Rey,semi-finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,59,4:00,Left-footed shot,Luis Suarez,messi,False,False,4,0,7,2016,2,3,Wednesday,February,middle,second time
15//16,Copa del Rey,semi-finals,2016-02-03,H,FC Barcelona,Valencia CF,7:00,RW,74,5:00,Left-footed shot,Neymar,messi,False,False,5,0,7,2016,2,3,Wednesday,February,middle,second time
15//16,LaLiga,24,2016-02-14,H,FC Barcelona,Celta de Vigo,6:01,RW,28,1:00,Direct free kick,no assist,messi,False,False,1,1,6,2016,2,14,Sunday,February,middle,first half
15//16,LaLiga,16,2016-02-17,A,FC Barcelona,Sporting GijÃ³n,1:03,RW,25,0:01,Left-footed shot,Luis Suarez,messi,False,False,1,1,3,2016,2,17,Wednesday,February,middle,first half
15//16,LaLiga,16,2016-02-17,A,FC Barcelona,Sporting GijÃ³n,1:03,RW,31,1:02,Left-footed shot,Luis Suarez,messi,False,False,2,1,3,2016,2,17,Wednesday,February,middle,first half
15//16,UEFA Champions League,last 16,2016-02-23,A,FC Barcelona,Arsenal FC,0:02,RW,71,0:01,Left-footed shot,Neymar,messi,False,False,1,0,2,2016,2,23,Tuesday,February,middle,second time
15//16,UEFA Champions League,last 16,2016-02-23,A,FC Barcelona,Arsenal FC,0:02,RW,83,0:02,Penalty,no assist,messi,False,False,2,0,2,2016,2,23,Tuesday,February,middle,second time
15//16,LaLiga,26,2016-02-28,H,FC Barcelona,Sevilla FC,2:01,RW,31,1:01,Direct free kick,no assist,messi,False,False,1,1,2,2016,2,28,Sunday,February,middle,first half
15//16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,23,0:02,Left-footed shot,Neymar,messi,False,False,2,1,5,2016,3,3,Thursday,March,end,first half
15//16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,53,0:03,Left-footed shot,Luis Suarez,messi,False,False,3,1,5,2016,3,3,Thursday,March,end,second time
15//16,LaLiga,27,2016-03-03,A,FC Barcelona,Rayo Vallecano,1:05,RW,72,1:04,Left-footed shot,Sergio Busquets,messi,False,False,4,1,5,2016,3,3,Thursday,March,end,second time
15//16,LaLiga,28,2016-03-06,A,FC Barcelona,SD Eibar,0:04,RW,42,0:02,Left-footed shot,Munir El Haddadi,messi,False,False,2,0,4,2016,3,6,Sunday,March,end,first half
15//16,LaLiga,28,2016-03-06,A,FC Barcelona,SD Eibar,0:04,RW,76,0:03,Penalty,no assist,messi,False,False,3,0,4,2016,3,6,Sunday,March,end,second time
15//16,LaLiga,29,2016-03-12,H,FC Barcelona,Getafe CF,6:00,CF,41,4:00,Left-footed shot,Arda Turan,messi,False,False,4,0,6,2016,3,12,Saturday,March,end,first half
15//16,UEFA Champions League,last 16,2016-03-16,H,FC Barcelona,Arsenal FC,3:01,RW,86,3:01,Left-footed shot,Neymar,messi,False,False,3,1,3,2016,3,16,Wednesday,March,end,second time
15//16,LaLiga,33,2016-04-17,H,FC Barcelona,Valencia CF,1:02,RW,63,1:02,Left-footed shot,Jordi Alba,messi,False,False,1,2,1,2016,4,17,Sunday,April,end,second time
15//16,LaLiga,34,2016-04-20,A,FC Barcelona,Deportivo de La Coruaa,0:08,RW,73,0:06,Left-footed shot,Luis Suarez,messi,False,False,6,0,8,2016,4,20,Wednesday,April,end,second time
15//16,LaLiga,35,2016-04-23,H,FC Barcelona,Sporting GijÃ³n,6:00,RW,13,1:00,Header,Neymar,messi,False,False,1,0,6,2016,4,23,Saturday,April,end,first half
15//16,LaLiga,37,2016-05-08,H,FC Barcelona,RCD Espanyol Barcelona,5:00,RW,8,1:00,Direct free kick,no assist,messi,False,False,1,0,5,2016,5,8,Sunday,May,end,first half
16//17,Supercopa,final,2016-08-17,H,FC Barcelona,Sevilla FC,3:00,RW,55,3:00,Header,Lucas Digne,messi,False,False,3,0,3,2016,8,17,Wednesday,August,start,second time
16//17,LaLiga,1,2016-08-20,H,FC Barcelona,Real Betis Balompie,6:02,RW,37,2:01,Left-footed shot,Sergi Roberto,messi,False,False,2,2,6,2016,8,20,Saturday,August,start,first half
16//17,LaLiga,1,2016-08-20,H,FC Barcelona,Real Betis Balompie,6:02,RW,58,5:01,Left-footed shot,Arda Turan,messi,False,False,5,2,6,2016,8,20,Saturday,August,start,second time
16//17,UEFA Champions League,group stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW,3,1:00,Left-footed shot,Neymar,messi,False,False,1,0,7,2016,9,13,Tuesday,September,start,first half
16//17,UEFA Champions League,group stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW,27,2:00,Left-footed shot,Neymar,messi,False,False,2,0,7,2016,9,13,Tuesday,September,start,first half
16//17,UEFA Champions League,group stage,2016-09-13,H,FC Barcelona,Celtic FC,7:00,RW,60,5:00,Left-footed shot,Luis Suarez,messi,False,False,5,0,7,2016,9,13,Tuesday,September,start,second time
16//17,LaLiga,4,2016-09-17,A,FC Barcelona,CD Leganes,1:05,RW,15,0:01,Left-footed shot,Luis Suarez,messi,False,False,1,1,5,2016,9,17,Saturday,September,start,first half
16//17,LaLiga,4,2016-09-17,A,FC Barcelona,CD Leganes,1:05,RW,55,0:04,Penalty,no assist,messi,False,False,4,1,5,2016,9,17,Saturday,September,start,second time
16//17,LaLiga,8,2016-10-15,H,FC Barcelona,Deportivo de La Coruaa,4:00,RW,58,4:00,Left-footed shot,Neymar,messi,False,False,4,0,4,2016,10,15,Saturday,October,start,second time
16//17,UEFA Champions League,group stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,17,1:00,Left-footed shot,Andres Iniesta,messi,False,False,1,0,4,2016,10,19,Wednesday,October,start,first half
16//17,UEFA Champions League,group stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,61,2:00,Left-footed shot,Andres Iniesta,messi,False,False,2,0,4,2016,10,19,Wednesday,October,start,second time
16//17,UEFA Champions League,group stage,2016-10-19,H,FC Barcelona,Manchester City,4:00,RW,69,3:00,Left-footed shot,Luis Suarez,messi,False,False,3,0,4,2016,10,19,Wednesday,October,start,second time
16//17,LaLiga,9,2016-10-22,A,FC Barcelona,Valencia CF,2:03,RW,22,0:01,Left-footed shot,Ivan Rakitic,messi,False,False,1,2,3,2016,10,22,Saturday,October,start,first half
16//17,LaLiga,9,2016-10-22,A,FC Barcelona,Valencia CF,2:03,RW,90+4,2:03,Penalty,no assist,messi,False,False,3,2,3,2016,10,22,Saturday,October,start,plus 90
16//17,UEFA Champions League,group stage,2016-11-01,A,FC Barcelona,Manchester City,3:01,RW,21,0:01,Left-footed shot,Neymar,messi,False,False,1,3,1,2016,11,1,Tuesday,November,middle,first half
16//17,LaLiga,11,2016-11-06,A,FC Barcelona,Sevilla FC,1:02,RW,43,1:01,Left-footed shot,Neymar,messi,False,False,1,1,2,2016,11,6,Sunday,November,middle,first half
16//17,UEFA Champions League,group stage,2016-11-23,A,FC Barcelona,Celtic FC,0:02,RW,24,0:01,Left-footed shot,Neymar,messi,False,False,1,0,2,2016,11,23,Wednesday,November,middle,first half
16//17,UEFA Champions League,group stage,2016-11-23,A,FC Barcelona,Celtic FC,0:02,RW,55,0:02,Penalty,no assist,messi,False,False,2,0,2,2016,11,23,Wednesday,November,middle,second time
16//17,LaLiga,13,2016-11-27,A,FC Barcelona,Real Sociedad,1:01,RW,59,1:01,Left-footed shot,Neymar,messi,False,False,1,1,1,2016,11,27,Sunday,November,middle,second time
16//17,UEFA Champions League,group stage,2016-12-06,H,FC Barcelona,Borussia MÃ¶nchengladbach,4:00,RW,16,1:00,Left-footed shot,Arda Turan,messi,False,False,1,0,4,2016,12,6,Tuesday,December,middle,first half
16//17,LaLiga,15,2016-12-10,A,FC Barcelona,CA Osasuna,0:03,RW,72,0:02,Left-footed shot,Jordi Alba,messi,False,False,2,0,3,2016,12,10,Saturday,December,middle,second time
16//17,LaLiga,15,2016-12-10,A,FC Barcelona,CA Osasuna,0:03,RW,90+2,0:03,Left-footed shot,Sergio Busquets,messi,False,False,3,0,3,2016,12,10,Saturday,December,middle,plus 90
16//17,LaLiga,16,2016-12-18,H,FC Barcelona,RCD Espanyol Barcelona,4:01,RW,90,4:01,Left-footed shot,Luis Suarez,messi,False,False,4,1,4,2016,12,18,Sunday,December,middle,second time
16//17,Copa del Rey,last 16,2017-01-05,A,FC Barcelona,Athletic Bilbao,2:01,RW,52,2:01,Direct free kick,no assist,messi,False,False,1,2,1,2017,1,5,Thursday,January,middle,second time
16//17,LaLiga,17,2017-01-08,A,FC Barcelona,Villarreal CF,1:01,RW,90,1:01,Direct free kick,no assist,messi,False,False,1,1,1,2017,1,8,Sunday,January,middle,second time
16//17,Copa del Rey,last 16,2017-01-11,H,FC Barcelona,Athletic Bilbao,3:01,RW,78,3:01,Direct free kick,no assist,messi,False,False,3,1,3,2017,1,11,Wednesday,January,middle,second time
16//17,LaLiga,18,2017-01-14,H,FC Barcelona,UD Las Palmas,5:00,RW,52,2:00,Right-footed shot,Luis Suarez,messi,False,False,2,0,5,2017,1,14,Saturday,January,middle,second time
16//17,LaLiga,19,2017-01-22,A,FC Barcelona,SD Eibar,0:04,RW,50,0:02,Left-footed shot,Luis Suarez,messi,False,False,2,0,4,2017,1,22,Sunday,January,middle,second time
16//17,Copa del Rey,quarter-finals,2017-01-26,H,FC Barcelona,Real Sociedad,5:02,RW,55,2:00,Penalty,no assist,messi,False,False,2,2,5,2017,1,26,Thursday,January,middle,second time
16//17,Copa del Rey,semi-finals,2017-02-01,A,FC Barcelona,Atletico de Madrid,1:02,RW,33,0:02,Left-footed shot,Ivan Rakitic,messi,False,False,2,1,2,2017,2,1,Wednesday,February,middle,first half
16//17,LaLiga,21,2017-02-04,H,FC Barcelona,Athletic Bilbao,3:00,RW,40,2:00,Direct free kick,no assist,messi,False,False,2,0,3,2017,2,4,Saturday,February,middle,first half
16//17,LaLiga,22,2017-02-11,A,FC Barcelona,Deportivo Alaves,0:06,RW,59,0:03,Left-footed shot,Neymar,messi,False,False,3,0,6,2017,2,11,Saturday,February,middle,second time
